Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-06-13,988,239,431,1142,998,149,107,49,548,730,896,668,93,2381,9419,882,159,378,1156,908,118,116,29,463,554,970,568,87,2513,8901,694
2014-06-14,621,178,275,702,661,151,76,39,355,629,597,399,56,1756,6495,606,122,303,744,653,125,110,25,287,508,732,395,52,1996,6658,215
2014-06-15,636,197,199,772,791,149,72,46,510,817,587,370,80,1696,6922,608,119,223,909,765,126,100,41,384,711,760,362,81,1936,7125,269
2014-06-16,738,232,207,782,881,180,63,37,569,763,588,429,81,2037,7587,654,151,224,888,870,166,91,16,430,573,775,387,80,2280,7585,180
2014-06-17,720,227,217,821,816,146,74,25,530,802,499,359,59,1881,7176,604,127,192,860,751,130,102,18,381,620,734,345,58,2177,7099,142
2014-06-18,902,208,215,1046,1012,177,100,65,554,753,789,524,66,2130,8541,802,143,216,1129,960,131,118,37,411,588,885,422,62,2272,8176,649
2014-06-19,1073,213,310,1223,1011,164,89,56,693,847,871,628,67,2272,9517,959,153,247,1308,979,154,117,29,573,728,1012,533,56,2482,9330,793
2014-06-20,868,202,283,998,968,125,96,84,713,811,632,441,56,1906,8183,837,159,238,1060,943,105,118,47,621,678,874,389,58,2242,8369,272
2014-06-21,630,160,191,852,778,104,94,49,418,554,533,310,15,1527,6215,621,116,183,822,708,89,125,29,354,465,676,302,24,1869,6383,224
2014-06-22,860,213,223,561,776,162,51,44,757,774,560,389,61,1776,7207,743,165,192,682,776,130,91,31,620,622,690,304,52,1988,7086,203
2014-06-23,1156,194,244,1161,997,151,121,48,782,778,718,392,83,2093,8918,1027,152,205,1170,917,113,128,19,696,640,825,350,78,2324,8644,486
2014-06-24,927,191,257,900,1035,163,84,50,597,846,854,497,76,1968,8445,827,112,240,951,958,132,109,32,508,665,893,400,66,2248,8141,443
2014-06-25,1066,231,387,951,1053,161,85,78,637,857,942,624,111,2231,9414,949,161,357,1035,1012,126,113,40,534,676,1029,518,104,2387,9041,783
2014-06-26,857,218,340,1145,1090,178,96,99,745,918,800,524,75,2102,9187,797,153,338,1183,1049,158,120,62,636,708,909,459,69,2302,8943,371
2014-06-27,877,267,355,892,1035,197,64,131,700,999,801,540,91,2092,9041,778,200,318,941,990,163,97,90,547,792,881,413,89,2267,8566,163
2014-06-28,638,179,250,634,676,105,45,53,433,661,519,392,47,1601,6233,575,133,237,635,628,81,69,36,341,503,629,337,52,1886,6142,104
2014-06-29,722,193,214,709,654,114,73,49,559,631,485,330,42,1305,6080,639,135,206,682,619,107,101,38,468,512,653,285,35,1654,6134,112
2014-06-30,761,183,257,958,838,124,123,62,533,672,622,330,44,1616,7123,642,128,224,869,779,90,139,37,430,549,812,310,43,1904,6956,518
