Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-02-04,530,87,239,771,890,131,131,56,530,606,544,396,37,1600,6548,455,69,254,675,745,94,108,16,412,445,586,306,39,1790,5994,1242
2014-02-05,609,89,249,906,920,115,132,50,573,722,584,517,29,1765,7260,616,74,232,812,848,96,109,20,471,547,635,364,29,1876,6729,1951
2014-02-06,838,130,401,753,1264,160,152,55,726,946,717,532,121,2134,8929,746,104,351,761,1212,135,149,26,628,746,799,400,115,2191,8363,852
2014-02-07,867,169,302,649,1059,127,92,124,730,865,580,431,112,1866,7973,844,144,261,718,1049,112,109,93,630,667,676,288,95,2046,7732,336
2014-02-08,547,158,256,447,514,51,80,94,448,655,417,276,61,1188,5192,561,110,224,387,439,40,96,59,333,485,521,214,58,1250,4777,281
2014-02-09,712,195,294,731,794,144,118,56,606,851,666,452,108,1655,7382,661,171,246,664,719,109,99,39,460,688,745,340,109,1738,6788,415
2014-02-10,718,164,308,769,1183,169,105,60,567,930,581,477,102,1696,7829,627,121,273,812,1117,141,103,30,461,779,694,395,87,1964,7604,519
2014-02-11,429,144,196,579,724,87,100,33,399,747,389,375,48,1336,5586,437,85,181,521,609,70,108,20,311,579,482,285,46,1604,5338,1294
2014-02-12,553,122,229,334,598,81,33,58,486,633,495,407,60,1459,5548,586,81,217,319,557,51,30,35,386,479,631,320,66,1707,5465,2940
2014-02-13,534,165,290,586,570,113,98,72,429,748,557,233,56,1495,5946,584,122,248,623,562,108,105,45,354,607,665,226,54,1653,5956,4521
2014-02-14,772,164,473,1136,1023,146,155,111,616,843,775,703,65,2051,9033,812,144,437,1242,1023,116,179,84,544,724,993,683,69,2387,9437,1101
